Title,Cast and crew,genres,title_year,imdb_score,plot_keywords,language,movie_title
Sicario: Day of the Soldado,"Stefano Sollima (director); Taylor Sheridan (screenplay); Benicio del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan, Manuel Garcia-Rulfo, Catherine Keener","Action, Crime, Thriller",2018,,"rescue, central intelligence agency (cia), corruption, usa–mexico border, sequel, shootout, explosion, brutality, drugs, sign languages, cartel, neo-noir, mexican cartel",en,Sicario: Day of the Soldado
Leave No Trace,"Debra Granik (director/screenplay); Anne Rosellini (screenplay); Ben Foster, Thomasin McKenzie, Jeff Kober, Dale Dickey",Drama,2018,,"post-traumatic stress disorder (ptsd), based on novel or book, portland, oregon, hiking, trauma, oregon, usa, teenage girl, survivalist, veteran, hitchhiking, washington state, woman director, squatting, off the grid, survivalism, father daughter relationship, living off the grid",en,Leave No Trace
Love All You Have Left,"Matt Sivertson (director/screenplay); Caroline Amiguet, Sara Wolfkind, Michael Christopher Shantz, Mike Burnell, Kathleen Sheehy",Drama,2017,,,en,Love All You Have Left
Uncle Drew,"Charles Stone III (director); Jay Longino (screenplay); Kyrie Irving, Lil Rel Howery, Shaquille O'Neal, Chris Webber, Reggie Miller, Nate Robinson, Lisa Leslie, Erica Ash, J. B. Smoove, Mike Epps, Tiffany Haddish, Nick Kroll, Aaron Gordon",Comedy,2018,,"comeback, basketball, road trip, streetball, tournament, prize money, financial problem, harlem, new york city, septuagenarian",en,Uncle Drew
Woman Walks Ahead,"Susanna White (director); Steven Knight (screenplay); Jessica Chastain, Michael Greyeyes, Chaske Spencer, Sam Rockwell","Drama, History, Western",2018,,"native american, biography, based on true story, sioux, north dakota, native american reservation, sitting bull, 19th century, indigenous peoples, lakota tribe, female painter, famous painter",en,Woman Walks Ahead
Who's Watching Oliver,"Richie Moore (director/screenplay); Raimund Huber, Russell Geoffrey Banks (screenplay); Russell Geoffrey Banks, Sara Malakul Lane, Margaret Roche","Horror, TV Movie",2018,,"killing spree, mental illness, shocking",en,Who's Watching Oliver
The First Purge,"Gerard McMurray (director); James DeMonaco (screenplay); Y'lan Noel, Lex Scott Davis, Joivan Wade, Steve Harris","Action, Horror, Thriller",2018,,"new york city, new jersey, sequel, prequel, murder, church, social media, staten island, new york city, purge, abuse of power, apartment buildings",en,The First Purge
Ant-Man and the Wasp,"Peyton Reed (director); Chris McKenna, Erik Sommers, Paul Rudd, Andrew Barrer, Gabriel Ferrari (screenplay); Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Hannah John-Kamen, David Dastmalchian, T.I., Judy Greer, Bobby Cannavale, Randall Park, Abby Ryder Fortson, Michelle Pfeiffer, Laurence Fishburne, Michael Douglas","Action, Adventure, Science Fiction",2018,,"van, dreams, insect, flying, chase, fight, superhero, ant, nuclear missile, shrinking, based on comic, giant insect, sequel, flashback, house arrest, alternate dimension, tragic villain, laboratory, fugitive, school, miniaturization, montage, toy car, giant man, female villain, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), giant, action hero, father daughter relationship, mother daughter relationship",en,Ant-Man and the Wasp
Sorry to Bother You,"Boots Riley (director/screenplay); LaKeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick, Terry Crews, Patton Oswalt, David Cross, Danny Glover, Steven Yeun, Armie Hammer","Fantasy, Science Fiction, Comedy",2018,,"slavery, satire, surrealism, oakland, california, poverty, telemarketer, telemarketing, human animal hybrid, corporate conspiracy, race relations, modern slavery, irreverent, lighthearted, absurd, horrified",en,Sorry to Bother You
Whitney,Kevin Macdonald (director/screenplay); Whitney Houston,"Music, Documentary",2018,,"biography, celebrity, singer, fame",en,Whitney
Hotel Transylvania 3: Summer Vacation,"Genndy Tartakovsky (director/screenplay[119]); Michael McCullers (screenplay); Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, David Spade, Steve Buscemi, Keegan-Michael Key, Molly Shannon, Fran Drescher, Kathryn Hahn, Jim Gaffigan, Mel Brooks","Animation, Comedy, Family, Fantasy",2018,,"monster, vampire, vacation, cruise ship, summer vacation, dracula",en,Hotel Transylvania 3: Summer Vacation
Skyscraper,"Rawson Marshall Thurber (director/screenplay); Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller, Noah Taylor, Byron Mann, Pablo Schreiber, Hannah Quinlivan","Action, Thriller, Adventure",2018,,"fire, china, skyscraper, hong kong, high tech, security system, pearl, penthouse, world's tallest building, trapped in burning building",en,Skyscraper
Eighth Grade,"Bo Burnham (director/screenplay); Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan, Fred Hechinger","Comedy, Drama",2018,,"adolescence, identity crisis, coming of age, teenage girl, middle school, self identity, social media, generation z",en,Eighth Grade
"Don't Worry, He Won't Get Far on Foot","Gus Van Sant (director/screenplay); Joaquin Phoenix, Jonah Hill, Rooney Mara, Jack Black","Comedy, Drama",2018,,"portland, oregon, biography, based on true story, car accident, drawing, based on memoir or autobiography, alcoholic, paralyzed",en,"Don't Worry, He Won't Get Far on Foot"
Shock and Awe,"Rob Reiner (director); Joey Hartstone (screenplay); Woody Harrelson, James Marsden, Rob Reiner, Jessica Biel, Milla Jovovich, Tommy Lee Jones","History, Drama, Thriller",2017,,"journalist, iraq war, 9/11, usa politics",en,Shock and Awe
Mamma Mia! Here We Go Again,"Ol Parker (director/screenplay); Christine Baranski, Pierce Brosnan, Dominic Cooper, Colin Firth, Andy García, Lily James, Amanda Seyfried, Stellan Skarsgård, Julie Walters, Cher, Meryl Streep","Comedy, Romance",2018,,"greece, musical, sequel, greek island, aftercreditsstinger, estranged mother, long lost love, jukebox musical, estranged grandparent, abba",en,Mamma Mia! Here We Go Again
The Equalizer 2,"Antoine Fuqua (director); Richard Wenk (screenplay); Denzel Washington, Pedro Pascal, Ashton Sanders, Bill Pullman, Melissa Leo","Action, Thriller, Crime",2018,,"drug dealer, martial arts, central intelligence agency (cia), rape, kidnapping, hostage, hurricane, sequel, revenge, murder, gang, massacre, aggressive, elite forces, vigilante justice, suspenseful, commanding, exhilarated, frightened",en,The Equalizer 2
Blindspotting,"Carlos López Estrada (director); Rafael Casal, Daveed Diggs (screenplay); Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones, Ethan Embry, Tisha Campbell, Utkarsh Ambudkar, Wayne Knight","Comedy, Crime, Drama",2018,,"cheerful, sincere",en,Blindspotting
Unfriended: Dark Web,"Stephen Susco (director/screenplay); Colin Woodell, Rebecca Rittenhouse, Betty Gabriel, Andrew Lees, Connor Del Rio, Stephanie Nogueras, Savira Windyani","Horror, Mystery",2018,,"webcam, sequel, lesbian relationship, hacking, computer screen, found footage, skype, game night, screenlife",en,Unfriended: Dark Web
Mission: Impossible – Fallout,"Christopher McQuarrie (director/screenplay); Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson, Sean Harris, Angela Bassett, Vanessa Kirby, Michelle Monaghan, Alec Baldwin","Action, Adventure",2018,,"race against time, london, england, helicopter, paris, france, plutonium, gun, spy, countdown, norway, sequel, motorcycle, bomb remote detonator, handgun, hand to hand combat, kashmir, excited",en,Mission: Impossible – Fallout
Teen Titans Go! To the Movies,"Peter Rida Michail (director); Aaron Horvath (director/screenplay); Michael Jelenic (screenplay); Greg Cipes, Scott Menville, Khary Payton, Tara Strong, Hynden Walch, Will Arnett, Kristen Bell","Animation, Action, Comedy, Science Fiction",2018,,"movie business, superhero, time travel, slapstick comedy, hollywood, super power, aftercreditsstinger, duringcreditsstinger, based on tv series",en,Teen Titans Go! To the Movies
