Title,Cast and crew,genres,title_year,imdb_score,plot_keywords,language,movie_title
Insidious: The Last Key,"Adam Robitel (director); Leigh Whannell (screenplay); Lin Shaye, Angus Sampson, Leigh Whannell, Spencer Locke, Caitlin Gerard, Bruce Davison","Horror, Thriller",2018,,"key, medium, haunted house, prequel, spirit, 1950s, insidious",en,Insidious: The Last Key
The Strange Ones,"Christopher Radcliff (director/screenplay); Lauren Wolkstein (director); Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones, Owen Campbell, Tobias Campbell","Thriller, Drama",2018,,"fire, sibling relationship, nightmare, cave, motel, road trip, woods, remake, woman director",en,The Strange Ones
The Commuter,"Jaume Collet-Serra (director); Byron Willinger, Philip de Blasi, Ryan Engle (screenplay); Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks, Sam Neill","Action, Thriller, Mystery",2018,,"conspiracy, train",en,The Commuter
Proud Mary,"Babak Najafi (director); John S. Newman, Christian Swegal, Steve Antin (screenplay); Taraji P. Henson, Jahi Di'Allo Winston, Billy Brown, Danny Glover","Thriller, Action, Crime",2018,,hitman,en,Proud Mary
Acts of Violence,"Brett Donowho (director); Nicolas Aaron Mezzanatto (screenplay); Bruce Willis, Cole Hauser, Shawn Ashmore, Ashton Holmes, Melissa Bolona, Sophia Bush, Mike Epps","Action, Crime, Thriller",2018,,"post-traumatic stress disorder (ptsd), police, kidnapping, cleveland, human trafficking, stripper, murder, abduction",en,Acts of Violence
Freak Show,"Trudie Styler (director); Patrick J. Clifton, Beth Rigazio (screenplay); Alex Lawther, Abigail Breslin, AnnaSophia Robb, Ian Nelson, Celia Weston, Laverne Cox, Bette Midler","Comedy, Drama",2018,,"high school, transvestite, lgbt, hate crime, woman director, homecoming queen",en,Freak Show
Humor Me,"Sam Hoffman (director/screenplay); Jemaine Clement, Elliott Gould, Ingrid Michaelson, Annie Potts, Priscilla Lopez, Bebe Neuwirth, Maria Dizzia",Documentary,2024,,,en,Humor Me
12 Strong,"Nicolai Fuglsig (director); Ted Tally, Peter Craig (screenplay); Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill","War, Drama, Action, History",2018,,"central intelligence agency (cia), based on novel or book, afghanistan, based on true story, taliban, post 9/11",en,12 Strong
Den of Thieves,"Christian Gudegast (director/screenplay); Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent","Action, Crime, Thriller",2018,,"police brutality, detective, fbi, assault rifle, deputy sheriff, investigation, strip club, donut, heist, shootout, los angeles, california, divorce, bank robbery, hostage situation, death, ex-marine, security, armored truck, ex military, aggressive, domineering, donut shop, bar, intense",en,Den of Thieves
Forever My Girl,"Bethany Ashton Wolf (director/screenplay); Alex Roe, Jessica Rothe, John Benjamin Hickey, Abby Ryder Fortson, Travis Tritt","Romance, Drama",2018,,"country music, new orleans, louisiana, guitar player, second chance, hometown, death of mother, death of best friend, coping mechanisms, father daughter relationship, avoidant, loss and grief",en,Forever My Girl
Thane of East County,"Jesse Keller (director/screenplay); Carr Cavender, Molly Beucher, Connor Sullivan, Karl Backus, Joshua Alan Jones, Ron Christopher Jones, Brian Patrick Butler","Drama, Thriller",2017,,,en,Thane of East County
Maze Runner: The Death Cure,"Wes Ball (director); T. S. Nowlin (screenplay); Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Nathalie Emmanuel, Giancarlo Esposito, Aidan Gillen, Walton Goggins, Ki Hong Lee, Barry Pepper, Will Poulter, Patricia Clarkson","Science Fiction, Action, Adventure, Thriller",2018,,"based on novel or book, fight, maze, post-apocalyptic future, imprisonment, terminal illness, mad scientist, trial, sequel, survival, murder, zombie, doctor, battle, vaccine, scientist, killer, desert, labyrinth, combat, illness, cure, zombie apocalypse, runner, universal cure, based on young adult novel",en,Maze Runner: The Death Cure
Please Stand By,"Ben Lewin (director); Michael Golamco (screenplay); Dakota Fanning, Toni Collette, Alice Eve, River Alexander, Patton Oswalt","Comedy, Drama",2018,,"san francisco, california, runaway, autism, manuscript, contest, los angeles, california, naive, tantrum, bus trip, script, chihuahua dog, group home, sister sister relationship, star trek, film writer, scriptwriter",en,Please Stand By
Winchester,"The Spierig Brothers (director/screenplay); Tom Vaughan (screenplay); Helen Mirren, Jason Clarke, Sarah Snook","Horror, Thriller",2018,,"drug addiction, haunted house, earthquake, based on true story, rifle, architecture, doctor, ghost, fictional biography, san jose, california",en,Winchester
A Fantastic Woman,"Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega, Francisco Reyes Morandé",Drama,2017,,"waitress, loss, chile, singer, death of lover, south america, transgender",es,A Fantastic Woman
Armed,"Mario Van Peebles (director/screenplay); Mario Van Peebles, Ryan Guzman, Columbus Short, Jemma Dallender, Brad Carter, Shakira Barrera, Laz Alonso, Dionne Warwick, Melvin Van Peebles, Roland Martin, Rocsi Diaz, Van Jones, Paul Rodriguez, William Fichtner","Action, Thriller",2018,,,en,Armed
The Cloverfield Paradox,"Julius Onah (director); Oren Uziel (screenplay); Gugu Mbatha-Raw, Elizabeth Debicki, Aksel Hennie, Daniel Brühl, Chris O'Dowd, John Ortiz, David Oyelowo, Zhang Ziyi","Horror, Thriller, Science Fiction",2018,,"experiment, disorientation, alien, space, scientist, space station, vexed, desperate, parallel universe, alternate universe, spaceship, disheartening",en,The Cloverfield Paradox
Bad Apples,"Bryan Coyne (director/screenplay); Brea Grant, Graham Skipper, Aly Fitzgerald, Heather Vaughn, Richard Riehle",Horror,2018,,,en,Bad Apples
Peter Rabbit,"Will Gluck (director/screenplay); Rob Lieber (screenplay); Rose Byrne, Domhnall Gleeson, Sam Neill, Daisy Ridley, Elizabeth Debicki, Marianne Jean-Baptiste, Margot Robbie, James Corden","Animation, Adventure, Family",2018,,"human animal relationship, based on children's book, rabbit, duringcreditsstinger, live action and animation, peter rabbit, food allergies",en,Peter Rabbit
Pad Man,"R. Balki (director/screenplay); Swanand Kirkire (screenplay); Akshay Kumar, Radhika Apte","Comedy, Drama",2018,,"superhero, village, invention, biography, menstruation, based on true story, taboo, based on short story, dramedy, social awareness",hi,Pad Man
Fifty Shades Freed,"James Foley (director); Niall Leonard (screenplay); Dakota Johnson, Jamie Dornan, Eric Johnson, Rita Ora, Luke Grimes, Victor Rasuk, Jennifer Ehle, Marcia Gay Harden","Drama, Romance",2018,,"based on novel or book, eroticism, sequel, bdsm",en,Fifty Shades Freed
The 15:17 to Paris,"Clint Eastwood (director); Dorothy Blyskal (screenplay); Anthony Sadler, Alek Skarlatos, Spencer Stone","Drama, Thriller",2018,,"paris, france, based on novel or book, classroom, train, terrorism, terrorist group",en,The 15:17 to Paris
Permission,"Brian Crano (director/screenplay); Rebecca Hall, Dan Stevens, Gina Gershon, François Arnaud, Morgan Spector, David Joseph Craig, Jason Sudeikis","Comedy, Romance, Drama",2018,,"marriage proposal, sexual frustration, adoption, relationship problems, monogamy, sexual promiscuity, open relationship, lgbt, wanting a baby, wanting to have children, dating woes, sexual experimentation, fidelity, gay relationship, sex, starting a family",en,Permission
Golden Exits,"Alex Ross Perry (director/screenplay); Emily Browning, Adam Horowitz, Mary-Louise Parker, Jason Schwartzman, Chloë Sevigny, Analeigh Tipton",Drama,2018,,,en,Golden Exits
Black Panther,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis","Action, Adventure, Science Fiction",2018,,"africa, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",en,Black Panther
Nostalgia,"Mark Pellington (director/screenplay); Alex Ross Perry (screenplay); Jon Hamm, Catherine Keener, John Ortiz, Nick Offerman, James LeGros, Bruce Dern, Ellen Burstyn",,2024,,,en,Nostalgia
Samson,"Bruce Macdonald (director); Jason Baumgardner, Zach Smith, Timothy Ratajczak, Galen Gilbert (screenplay); Taylor James, Jackson Rathbone, Billy Zane, Caitlin Leahy, Rutger Hauer, Lindsay Wagner","Action, Drama, Adventure",2018,,"judge, bible, famine, god, superhuman strength, evil ruler, manhunt, manipulated woman, blood revenge, christian film, philistine, dagon, blinded",en,Samson
Game Night,"John Francis Daley, Jonathan Goldstein (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall, Kyle Chandler","Mystery, Comedy, Crime",2018,,"jealousy, husband wife relationship, married couple, sarcasm, dark comedy, insult, revenge, neighbor, dog, game, group of friends, corvette stingray, creepy neighbor, aftercreditsstinger, embarrasment, brother brother relationship, board games",en,Game Night
Annihilation,"Alex Garland (director/screenplay); Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, Oscar Isaac","Science Fiction, Horror",2018,,"depression, florida, quarantine, coma, based on novel or book, mutation, self-destruction, professor, dna, expedition, transformation, alligator, hybrid, swamp, meteor, grief, physicist, cancer, memory loss, psychologist, scientist, paramedic, missing person, mourning, beast, geologist, biologist, unusual phenomena, speculative, meditative, compound, missing husband, fauna, mysterious life form, flora, dreary, grand, absurd, ambiguous, audacious",en,Annihilation
Every Day,"Michael Sucsy (director); Jesse Andrews (screenplay); Angourie Rice, Justice Smith, Debby Ryan, Maria Bello",Drama,2023,,,en,Every Day
The Cured,"David Freyne (director/screenplay); Elliot Page, Sam Keeley, Tom Vaughan-Lawlor","Horror, Drama, Science Fiction",2017,,"infection, flashback, zombie, disease, military, cure, pack",en,The Cured
Red Sparrow,"Francis Lawrence (director); Justin Haythe (screenplay); Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Jeremy Irons","Thriller, Mystery",2018,,"central intelligence agency (cia), sexual abuse, budapest, hungary, based on novel or book, self sacrifice, spy, patriotism, seduction, training, double agent, chechnya, hospital, torture, mole, female spy, mortal danger, deceit, uncle niece relationship, american embassy, moscow, russia, russian spy, spy thriller, bolshoi ballet, ballet performance, secret code, prima ballerina, mother daughter relationship, theatre, asset, home health aide, secret meeting, gorky park, intense, audacious",en,Red Sparrow
Death Wish,"Eli Roth (director); Joe Carnahan (screenplay); Bruce Willis, Vincent D'Onofrio, Elisabeth Shue, Dean Norris, Kimberly Elise","Action, Crime, Thriller, Drama",2018,,"robbery, based on novel or book, police, gun, kidnapping, detective, remake, vigilante, shootout, dark hero, criminal, aggressive, death of wife, father daughter relationship, vigilante justice, provocative",en,Death Wish
The Vanishing of Sidney Hall,"Shawn Christensen (director/screenplay); Jason Dolan (screenplay); Logan Lerman, Elle Fanning, Michelle Monaghan, Nathan Lane, Kyle Chandler","Drama, Mystery, Romance",2018,,"arson, writer, classmate, novel",en,The Vanishing of Sidney Hall
Pickings,"Usher Morgan (director/screenplay); Elyse Price, Katie Vincent, Joel Bernard, Joe Trombino, Emil Ferzola, Yaron Urbas","Thriller, Action, Crime, Drama, Mystery",2018,,"gangster, revenge, mobster, mafia, southern, pulp, neo-noir",en,Pickings
A Wrinkle in Time,"Ava DuVernay (director); Jennifer Lee, Jeff Stockwell (screenplay); Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Gugu Mbatha-Raw, Michael Peña, Zach Galifianakis, Chris Pine","Adventure, Science Fiction, Family, Fantasy",2018,,"based on novel or book, child prodigy, remake, family, woman director, mixed race",en,A Wrinkle in Time
Gringo,"Nash Edgerton (director); Matthew Stone, Anthony Tambakis (screenplay); David Oyelowo, Charlize Theron, Joel Edgerton, Amanda Seyfried, Thandiwe Newton, Sharlto Copley","Comedy, Action, Crime",2018,,"kidnapping, drug cartel, shootout, boyfriend girlfriend relationship",en,Gringo
Thoroughbreds,"Cory Finley (director/screenplay); Olivia Cooke, Anya Taylor-Joy, Anton Yelchin, Paul Sparks, Francie Swift","Romance, Drama",1944,,"thoroughbred, steeplechase race",en,Thoroughbreds
The Strangers: Prey at Night,"Johannes Roberts (director); Bryan Bertino, Ben Ketai (screenplay); Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman","Horror, Thriller",2018,,"road trip, swimming pool, sequel, murder, serial killer, slasher, home invasion, cross country, stranger, mysterious stranger, handgun, mobile home, brother sister relationship, masked",en,The Strangers: Prey at Night
The Hurricane Heist,"Rob Cohen (director); Scott Windhauser, Jeff Dixon (screenplay); Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, James Cutler, Ben Cross","Action, Adventure, Crime, Thriller",2018,,"hurricane, heist, treasury department, meteorologist, disaster movie",en,The Hurricane Heist
Tomb Raider,"Roar Uthaug (director); Geneva Robertson-Dworet, Alastair Siddons (screenplay); Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu, Kristin Scott Thomas","Action, Adventure, Fantasy",2018,,"island, treasure hunt, remake, female protagonist, heiress, based on video game, bicycle courier, missing person, reboot, peril, slave labor, father daughter relationship",en,Tomb Raider
"Love, Simon","Greg Berlanti (director); Isaac Aptaker, Elizabeth Berger (screenplay); Nick Robinson, Josh Duhamel, Jennifer Garner","Comedy, Drama, Romance",2018,,"coming out, sexual identity, high school, based on novel or book, sexuality, class, coming of age, bully, love, teen movie, male homosexuality, lgbt, lgbt teen, based on young adult novel, gay theme, boys' love (bl), romantic, appreciative, melodramatic",en,"Love, Simon"
I Can Only Imagine,"Erwin brothers (directors); Jon Erwin, Brent McCorkle (screenplay); J. Michael Finley, Madeline Carroll, Trace Adkins, Priscilla Shirer, Cloris Leachman, Dennis Quaid","Music, Drama",2018,,"musician, texas, abusive father, redemption, based on true story, singer-songwriter, father son relationship, christian film, christian faith, independent film, cliché, contemporary christian music, biographical drama",en,I Can Only Imagine
Entebbe,"José Padilha (director); Gregory Burke (screenplay); Rosamund Pike, Daniel Brühl, Eddie Marsan, Ben Schnetzer, Lior Ashkenazi, Denis Ménochet",Documentary,2012,,,he,Entebbe
Furlough,"Laurie Collyer (director); Barry Strugatz (screenplay); Tessa Thompson, Melissa Leo, Whoopi Goldberg, Anna Paquin",Comedy,2018,,"sibling relationship, dementia, transport of prisoners, road trip, rookie cop, taking care of someone , woman director, deathbed visit, emergency furlough, time out",en,Furlough
Josie,"Eric England (director), Anthony Ragnone II (screenplay); Sophie Turner, Dylan McDermott, Jack Kilmer, Micah Fitzgerald, Lombardo Boyar, Daeg Faerch, Robin Bartlett, Kurt Fuller","Thriller, Drama",2018,,,en,Josie
Flower,"Max Winkler (director/screenplay); Alex McAulay, Matt Spicer (screenplay); Zoey Deutch, Kathryn Hahn, Tim Heidecker, Adam Scott, Joey Morgan, Dylan Gelula","Comedy, Drama",2017,,"high school, stepbrother, single mother, firecracker, san fernando valley, sexually aggressive woman, mentally unstable, rebellious, lighthearted, farcical",en,Flower
Pacific Rim Uprising,"Steven S. DeKnight (director/screenplay); Emily Carmichael, Kira Snyder, T. S. Nowlin (screenplay); John Boyega, Scott Eastwood, Jing Tian, Cailee Spaeny, Rinko Kikuchi, Burn Gorman, Adria Arjona, Zhang Jin, Charlie Day","Action, Fantasy, Science Fiction, Adventure",2018,,"mind control, race against time, japan, army, monster, artificial intelligence (a.i.), saving the world, cadet, military officer, evacuation, giant monster, duty, military base, damage, dormitory, mad scientist, portal, rivalry, sequel, alien, coming of age, futuristic, mecha, giant robot, mind reading, creature, robot, scientist, criminal, one against many, combat, blizzard, female fighter, kaiju, wisecrack humor, transforming robot, alien monster, teenage hero, mental link, mass destruction, humanoid robot, robot suits, female warrior, aircraft, laser beam, mass evacuation, mount fuji, japan, computer hacker, tokyo, disapproving",en,Pacific Rim Uprising
Isle of Dogs,"Wes Anderson (director/screenplay); Bryan Cranston, Koyu Rankin, Edward Norton, Liev Schreiber, Bill Murray, Bob Balaban, Jeff Goldblum, Scarlett Johansson, Kunichi Nomura, Tilda Swinton, Ken Watanabe, Akira Ito, Greta Gerwig, Akira Takayama, Frances McDormand, F. Murray Abraham, Yojiro Noda, Fisher Stevens, Mari Natsuki, Nijirō Murakami, Yoko Ono, Harvey Keitel, Frank Wood","Adventure, Comedy, Animation",2018,,"island, japan, stop motion, dog, garbage dump, pets, witty, vibrant",en,Isle of Dogs
Sherlock Gnomes,"John Stevenson (director); Ben Zazove (screenplay); James McAvoy, Emily Blunt, Chiwetel Ejiofor, Michael Caine, Ashley Jensen, Maggie Smith, Matt Lucas, Stephen Merchant, Ozzy Osbourne, Mary J. Blige, Julie Walters, Richard Wilson, Jamie Demetriou, Johnny Depp, Dexter Fletcher, James Hong, Eve Webster, Julio Bonet","Animation, Family, Fantasy, Comedy, Adventure, Mystery",2018,,"villain, sequel, missing person, animate statue, sherlock holmes",en,Sherlock Gnomes
Unsane,"Steven Soderbergh (director); Jonathan Bernstein, James Greer (screenplay); Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple, Aimee Mullins, Amy Irving, Matt Damon","Horror, Thriller",2018,,"stalker, mental institution, fear, mother daughter relationship, shot on iphone",en,Unsane
"Paul, Apostle of Christ","Andrew Hyatt (director/screenplay); Jim Caviezel, Olivier Martinez, James Faulkner, Joanne Whalley, John Lynch",Drama,2018,,"prison, roman empire, christianity, apostle, bible, burned alive, nero, 1st century, christian film, relaxed, antiquity, christian faith, inspirational",en,"Paul, Apostle of Christ"
Final Portrait,"Stanley Tucci (director/screenplay); Geoffrey Rush, Armie Hammer, Clémence Poésy, Tony Shalhoub, James Faulkner, Sylvie Testud","History, Drama",2017,,"paris, france, based on novel or book, biography, sculptor, struggling artist, 1960s, painter as artist, posing for a portrait, portrait of an artist",en,Final Portrait
Midnight Sun,"Scott Speer (director); Eric Kirsten (screenplay); Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Suleka Mathew","Romance, Drama",2018,,"seattle, washington, sunlight, terminal illness, singer, best friend, homeschooling, dead mother, swimming, teenage daughter, railway station, boyfriend girlfriend relationship, athletic scholarship, protective father, teenage romance, busker, rare disease, medical problem",en,Midnight Sun
Ready Player One,"Steven Spielberg (director); Zak Penn, Ernest Cline (screenplay); Tye Sheridan, Olivia Cooke, Ben Mendelsohn, T.J. Miller, Simon Pegg, Mark Rylance","Adventure, Action, Science Fiction",2018,,"future, based on novel or book, video game, virtual reality, dystopia, nostalgia, love, film in film, evil corporation, quest, 1980s, 2040s, based on young adult novel, columbus, ohio, vrmmo",en,Ready Player One
Acrimony,"Tyler Perry (director/screenplay); Taraji P. Henson, Lyriq Bent, Crystle Stewart, Ptosha Storey, Jazmyn Simon, Ajiona Alexus, Antonio Madison, Bresha Webb, Danielle Nicolet, Nelson Estevez, Kendrick Cross","Drama, Thriller",2018,,"first time, court, obsession, harassment, marriage, manipulation, revenge, inheritance, class differences, rage, anger, therapy, death of mother, resentment, torment, hospitalization, hostile, out of control, mentally unstable, lies, black cinema, semi-narrative, woman scorned, sisters, crazy, taken advantage of, uncontrollable anger",en,Acrimony
