genres,title_year,imdb_score,plot_keywords,language,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name
Drama,2021,5.8,"new york city, gambling, obsession, painting, dominatrix, webcam, stalking, atm, sex worker, cam girl, web cam, online gambling",English,PVT Chat,Ben Hozie,Julia Fox,Nikki Belfiglio,Austin Brown
"Music, Drama",2021,3.2,"drug dealer, autism, macabre, celebratory, disrespectful",English,Music,Sia,Kate Hudson,Leslie Odom Jr.,Maddie Ziegler
"Drama, History",2021,7.4,"chicago, illinois, assassination, black panther party, based on true story, betrayal, betrayal by friend, hard, 1960s, african american history, rainbow coalition, awestruck, exhilarated",English,Judas and the Black Messiah,Shaka King,Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons
"Drama, Thriller",2021,7.5,"prisoner, based on novel or book, falsely accused, war on terror, confession, guantanamo bay, based on true story, lawyer, torture, interrogation, sleep deprivation",English,The Mauritanian,Kevin Macdonald,Jodie Foster,Tahar Rahim,Shailene Woodley
Comedy,2021,6.3,"florida, vacation, friends, duringcreditsstinger",English,Barb and Star Go to Vista Del Mar,Josh Greenbaum,Kristen Wiig,Annie Mumolo,Jamie Dornan
Drama,2021,7.4,"american dream, arkansas, church, east asian lead, farmland, farmer, semi autobiographical, heart condition, family tension, hatchery, 1980s, vegetable farm, korean american, mobile home, rural setting, grandmother grandson relationship, korean, asian american, korean food, korean immigrant",English,Minari,Lee Isaac Chung,Steven Yeun,Han Ye-ri,Alan Kim
"Romance, Comedy, Drama",2021,6.3,"based on novel or book, south korea, asian american, seoul, south korea",English,To All the Boys: Always and Forever,Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher
"Romance, Drama, Western",2021,6.4,"lesbian relationship, lesbian, intimate, tragic",English,The World to Come,Mona Fastvold,Katherine Waterston,Vanessa Kirby,Christopher Abbott
"Comedy, Drama",2021,5.9,"paris, france, based on novel or book, cat, widow, medium, affectation, reincarnation, ocean crossing, socialite, complex, mother son relationship, introspective, irreverent, lighthearted, bitter, complicated, conceited, dignified, gentle, pessimistic",English,French Exit,Azazel Jacobs,Michelle Pfeiffer,Lucas Hedges,Tracy Letts
Drama,2021,6.7,"wyoming, usa, winter, fishing, mountain, log cabin, deer, bear, hunting, deer hunting, family tragedy, living alone, solitude",English,Land,Robin Wright,Robin Wright,Demián Bichir,Kim Dickens
"Horror, Thriller",2021,5.5,"dying and death, nightmare, possession, carnival, mascot, evil doll, apocalypse, demon, amusement park, animatronic, demonic",English,Willy's Wonderland,Kevin Lewis,Nicolas Cage,Emily Tosta,Ric Reitz
"Fantasy, Romance",2021,6.8,"small town, love, cancer, time loop, based on short story, loss of mother, love story, teenager",English,The Map of Tiny Perfect Things,Ian Samuels,Kathryn Newton,Kyle Allen,Al Madrigal
"Thriller, Horror, Drama",2021,5.9,"kidnapping, neighbor, fear, mental illness, hearing voices",English,Fear of Rain,Castille Landon,Katherine Heigl,Madison Iseman,Israel Broussard
"Crime, Thriller, Drama",2021,6.4,"psychopath, dark comedy, sociopath, guardian, ceo, social services, scam artist, female psychopath, social criticism, late stage capitalism, scammer, socialized psychopath",English,I Care a Lot,J Blakeson,Rosamund Pike,Peter Dinklage,Eiza González
"Family, Adventure, Comedy, Fantasy",2021,6.2,"based on novel or book, squirrel, duringcreditsstinger",English,Flora & Ulysses,Lena Khan,Matilda Lawler,Alyson Hannigan,Ben Schwartz
